2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020-30","Percent employment change, 2020-30","Percent self employed, 2020","Occupational openings, 2020-30 annual average",Median annual wage 2020,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Miscellaneous assemblers and fabricators,51-2090,Line item,"1,262.80","1,178.20",-84.6,-6.7,0.8,125.2,33550,High school diploma or equivalent,None,Moderate-term on-the-job training
Food processing workers,51-3000,Summary,821.1,853.1,31.9,3.9,3.6,104.4,30960,—,—,—
Bakers,51-3011,Line item,193.4,211.7,18.4,9.5,10.7,28.3,29400,No formal educational credential,None,Long-term on-the-job training
"Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,377.6,378.3,0.7,0.2,0.6,43.5,31080,—,—,—
Butchers and meat cutters,51-3021,Line item,145,137.2,-7.8,-5.4,0.6,15.4,32900,No formal educational credential,None,Long-term on-the-job training
"Meat, poultry, and fish cutters and trimmers",51-3022,Line item,153,158,5,3.3,0.6,18.4,30190,No formal educational credential,None,Short-term on-the-job training
Slaughterers and meat packers,51-3023,Line item,79.7,83.1,3.4,4.3,0.6,9.7,30710,No formal educational credential,None,Short-term on-the-job training
Miscellaneous food processing workers,51-3090,Summary,250.1,263,12.9,5.1,2.8,32.6,31950,—,—,—
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,19,19.9,0.8,4.4,—,2.3,32480,No formal educational credential,None,Moderate-term on-the-job training
Food batchmakers,51-3092,Line item,159.3,168.3,8.9,5.6,3.1,20.7,32710,High school diploma or equivalent,None,Moderate-term on-the-job training
Food cooking machine operators and tenders,51-3093,Line item,26.8,28.2,1.4,5.1,—,4.8,33010,High school diploma or equivalent,None,Moderate-term on-the-job training
"Food processing workers, all other",51-3099,Line item,45,46.7,1.7,3.8,4.5,4.8,29620,No formal educational credential,None,Moderate-term on-the-job training
Metal workers and plastic workers,51-4000,Summary,"1,728.90","1,770.40",41.4,2.4,1.8,182.6,40770,—,—,—
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,118.8,109.6,-9.2,-7.7,0.3,10.1,39430,—,—,—
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,70.5,65.2,-5.3,-7.5,0.3,6,37530,High school diploma or equivalent,None,Moderate-term on-the-job training
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,13.7,11.9,-1.8,-13.2,—,1.1,41430,High school diploma or equivalent,None,Moderate-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,34.5,32.4,-2.1,-6.1,0.3,3,43600,High school diploma or equivalent,None,Moderate-term on-the-job training
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,299.9,288.3,-11.6,-3.9,0,29.3,37590,—,—,—
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,182,177.5,-4.5,-2.4,—,17.6,36980,High school diploma or equivalent,None,Moderate-term on-the-job training
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,9.1,7.7,-1.4,-15.5,—,0.7,39780,High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,69.4,67.1,-2.3,-3.3,0.1,7.5,36880,High school diploma or equivalent,None,Moderate-term on-the-job training
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,23.7,22.7,-1,-4.4,—,2.2,41380,High school diploma or equivalent,None,Moderate-term on-the-job training
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,15.7,13.3,-2.4,-15.1,—,1.2,43150,High school diploma or equivalent,None,Moderate-term on-the-job training
Machinists,51-4041,Line item,363,391.8,28.8,7.9,1.5,41.2,45840,High school diploma or equivalent,None,Long-term on-the-job training
"Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,22.2,22.2,0,0.1,—,2,43000,—,—,—
Metal-refining furnace operators and tenders,51-4051,Line item,15.1,15.5,0.4,2.6,—,1.4,44610,High school diploma or equivalent,None,Moderate-term on-the-job training
"Pourers and casters, metal",51-4052,Line item,7.1,6.7,-0.4,-5.1,—,0.6,40170,High school diploma or equivalent,None,Moderate-term on-the-job training
"Model makers and patternmakers, metal and plastic",51-4060,Summary,5.8,5.6,-0.2,-4.2,—,0.5,51650,—,—,—
"Model makers, metal and plastic",51-4061,Line item,3.4,3.3,-0.2,-4.9,—,0.3,54780,High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, metal and plastic",51-4062,Line item,2.4,2.3,-0.1,-3.2,—,0.2,48160,High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,173.5,163.4,-10.1,-5.8,0.1,15.9,33560,—,—,—
Foundry mold and coremakers,51-4071,Line item,15.8,15.3,-0.5,-3.3,—,1.5,37140,High school diploma or equivalent,None,Moderate-term on-the-job training
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,157.7,148.2,-9.6,-6.1,0.1,14.4,33100,High school diploma or equivalent,None,Moderate-term on-the-job training
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,138.4,150.2,11.8,8.6,2.3,15.6,37510,High school diploma or equivalent,None,Moderate-term on-the-job training
Tool and die makers,51-4111,Line item,62.3,63.3,0.9,1.5,0.9,6.4,54760,Postsecondary nondegree award,None,Long-term on-the-job training
"Welding, soldering, and brazing workers",51-4120,Summary,453.3,487.1,33.8,7.5,4.3,52.8,43790,—,—,—
"Welders, cutters, solderers, and brazers",51-4121,Line item,418.2,452.4,34.1,8.2,4.3,49.2,44190,High school diploma or equivalent,None,Moderate-term on-the-job training
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,35.1,34.7,-0.3,-1,4.3,3.6,39410,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous metal workers and plastic workers,51-4190,Summary,91.7,88.9,-2.8,-3.1,2.2,8.8,37210,—,—,—
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,16.9,16.2,-0.7,-4,2.3,1.6,39530,High school diploma or equivalent,None,Moderate-term on-the-job training
"Layout workers, metal and plastic",51-4192,Line item,7.9,7.3,-0.5,-6.6,1.9,0.7,52300,High school diploma or equivalent,None,Moderate-term on-the-job training
"Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,39.3,38.2,-1.1,-2.7,2.3,3.8,34850,High school diploma or equivalent,None,Moderate-term on-the-job training
"Tool grinders, filers, and sharpeners",51-4194,Line item,6.2,6.1,-0.1,-2.4,2.3,0.6,41060,High school diploma or equivalent,None,Moderate-term on-the-job training
"Metal workers and plastic workers, all other",51-4199,Line item,21.4,21,-0.4,-2,2.2,2.1,35520,High school diploma or equivalent,None,Moderate-term on-the-job training
Printing workers,51-5100,Summary,230.7,202.6,-28,-12.2,1.8,21.2,37600,—,—,—
Prepress technicians and workers,51-5111,Line item,28.2,23.3,-4.8,-17.1,2.2,3,41410,Postsecondary nondegree award,None,None
Printing press operators,51-5112,Line item,160.9,144.9,-15.9,-9.9,1.9,14.7,37880,High school diploma or equivalent,None,Moderate-term on-the-job training
Print binding and finishing workers,51-5113,Line item,41.6,34.4,-7.3,-17.5,1.2,3.5,34260,High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers",51-6000,Summary,537.7,521.1,-16.5,-3.1,9.4,61.9,28020,—,—,—
Laundry and dry-cleaning workers,51-6011,Line item,175.5,196.1,20.6,11.8,0.4,26.6,25470,No formal educational credential,None,Short-term on-the-job training
"Pressers, textile, garment, and related materials",51-6021,Line item,30.3,27,-3.3,-10.8,—,2.6,25580,No formal educational credential,None,Short-term on-the-job training
Sewing machine operators,51-6031,Line item,133.5,114.8,-18.6,-14,12.3,12.2,28230,No formal educational credential,None,Short-term on-the-job training
Shoe and leather workers,51-6040,Summary,13.6,11.3,-2.3,-16.8,11.1,1.2,30580,—,—,—
Shoe and leather workers and repairers,51-6041,Line item,8.7,7.5,-1.2,-14,11.2,0.8,30550,High school diploma or equivalent,None,Moderate-term on-the-job training
Shoe machine operators and tenders,51-6042,Line item,5,3.9,-1.1,-21.6,10.8,0.4,30630,High school diploma or equivalent,None,Short-term on-the-job training
"Tailors, dressmakers, and sewers",51-6050,Summary,48.8,45.1,-3.8,-7.7,50.2,5.7,32120,—,—,—
"Sewers, hand",51-6051,Line item,6.9,6.2,-0.7,-9.5,50.3,0.8,30000,No formal educational credential,None,Moderate-term on-the-job training
"Tailors, dressmakers, and custom sewers",51-6052,Line item,42,38.9,-3.1,-7.4,50.2,4.9,32640,No formal educational credential,None,Moderate-term on-the-job training
"Textile machine setters, operators, and tenders",51-6060,Summary,66.4,58,-8.4,-12.7,1.5,6.5,30680,—,—,—
Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,7.5,6.5,-1,-13.8,1.5,0.7,30260,High school diploma or equivalent,None,Short-term on-the-job training
"Textile cutting machine setters, operators, and tenders",51-6062,Line item,12.9,11.5,-1.4,-11.1,1.5,1.3,29910,High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,19.6,16.7,-2.9,-14.8,1.5,1.9,31090,High school diploma or equivalent,None,Short-term on-the-job training
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,26.4,23.4,-3,-11.5,1.5,2.6,30890,High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,69.6,68.8,-0.8,-1.1,9,7,34720,—,—,—
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,16.2,15.5,-0.7,-4.3,1.2,1.8,37160,High school diploma or equivalent,None,Moderate-term on-the-job training
Fabric and apparel patternmakers,51-6092,Line item,4.7,4.2,-0.5,-9.7,1.2,0.5,49680,High school diploma or equivalent,None,Moderate-term on-the-job training
Upholsterers,51-6093,Line item,32.1,33.5,1.4,4.5,18,3,36250,High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers, all other",51-6099,Line item,16.7,15.6,-1.1,-6.4,1.2,1.8,28650,High school diploma or equivalent,None,Short-term on-the-job training
Woodworkers,51-7000,Summary,257.8,281.2,23.4,9.1,7.8,29.9,33800,—,—,—
Cabinetmakers and bench carpenters,51-7011,Line item,103.9,113.1,9.1,8.8,11.9,11,36710,High school diploma or equivalent,None,Moderate-term on-the-job training
Furniture finishers,51-7021,Line item,18.1,19.1,1,5.8,14.4,2.6,32970,High school diploma or equivalent,None,Short-term on-the-job training
"Model makers and patternmakers, wood",51-7030,Summary,1.2,1.6,0.4,35.8,24.9,0.2,64240,—,—,—
"Model makers, wood",51-7031,Line item,1,1.3,0.4,38.6,25.4,0.1,64050,High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, wood",51-7032,Line item,0.2,0.3,0.1,24.7,22.9,0,65120,High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders",51-7040,Summary,125,135.8,10.7,8.6,2.1,14.9,31920,—,—,—
"Sawing machine setters, operators, and tenders, wood",51-7041,Line item,50.5,53.9,3.4,6.7,5.1,6.2,31560,High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,74.6,81.9,7.3,9.8,—,8.7,32160,High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworkers, all other",51-7099,Line item,9.5,11.6,2.1,22.2,23.1,1.2,33630,High school diploma or equivalent,None,Moderate-term on-the-job training
Plant and system operators,51-8000,Summary,301.9,295.9,-6,-2,0.6,28.5,62540,—,—,—
"Power plant operators, distributors, and dispatchers",51-8010,Summary,49,41.9,-7.1,-14.4,—,3.5,89090,—,—,—
Nuclear power reactor operators,51-8011,Line item,5.3,3.6,-1.8,-32.9,—,0.2,104040,High school diploma or equivalent,None,Long-term on-the-job training
Power distributors and dispatchers,51-8012,Line item,10,9.3,-0.7,-7.3,—,0.8,95100,High school diploma or equivalent,None,Long-term on-the-job training
Power plant operators,51-8013,Line item,33.6,29,-4.6,-13.6,—,2.5,84650,High school diploma or equivalent,None,Long-term on-the-job training
Stationary engineers and boiler operators,51-8021,Line item,30.7,32.5,1.8,5.8,—,4,64680,High school diploma or equivalent,None,Long-term on-the-job training
Water and wastewater treatment plant and system operators,51-8031,Line item,122.1,119,-3.1,-2.5,1.3,10.5,49090,High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous plant and system operators,51-8090,Summary,100.1,102.4,2.3,2.3,0.3,10.5,70800,—,—,—
Chemical plant and system operators,51-8091,Line item,29.5,29.4,-0.1,-0.5,0.3,3,65960,High school diploma or equivalent,None,Moderate-term on-the-job training
Gas plant operators,51-8092,Line item,15.1,14.8,-0.3,-1.8,—,1.5,72970,High school diploma or equivalent,None,Long-term on-the-job training
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,40.6,42.8,2.3,5.6,0.3,4.4,78840,High school diploma or equivalent,None,Moderate-term on-the-job training
"Plant and system operators, all other",51-8099,Line item,14.9,15.4,0.5,3.1,—,1.6,58960,High school diploma or equivalent,None,Moderate-term on-the-job training
Other production occupations,51-9000,Summary,"2,539.90","2,517.90",-22,-0.9,2,283.6,37200,—,—,—
"Chemical processing machine setters, operators, and tenders",51-9010,Summary,143.1,140.7,-2.4,-1.7,0.3,13.9,47880,—,—,—
Chemical equipment operators and tenders,51-9011,Line item,93.5,88.6,-4.9,-5.3,0.3,8.6,50510,High school diploma or equivalent,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,49.6,52.1,2.5,5,0.3,5.3,43100,High school diploma or equivalent,None,Moderate-term on-the-job training
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,174.4,175.6,1.3,0.7,0.4,19.1,37860,—,—,—
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,32.6,32.5,-0.1,-0.4,0.4,3.5,39370,High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding and polishing workers, hand",51-9022,Line item,23.7,20.5,-3.2,-13.6,0.5,2.1,31750,No formal educational credential,None,Moderate-term on-the-job training
"Mixing and blending machine setters, operators, and tenders",51-9023,Line item,118.1,122.7,4.6,3.9,0.4,13.5,38690,High school diploma or equivalent,None,Moderate-term on-the-job training
Cutting workers,51-9030,Summary,61.6,57.4,-4.2,-6.9,1,6.8,36320,—,—,—
"Cutters and trimmers, hand",51-9031,Line item,8.1,5.7,-2.4,-29.7,1,0.6,31630,No formal educational credential,None,Short-term on-the-job training
"Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,53.6,51.7,-1.9,-3.5,1,6.2,36980,High school diploma or equivalent,None,Moderate-term on-the-job training
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,65.6,66.3,0.8,1.2,—,6.7,36560,High school diploma or equivalent,None,Moderate-term on-the-job training
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,17.8,18.7,0.9,4.9,5.3,1.8,40670,High school diploma or equivalent,None,Moderate-term on-the-job training
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,557.9,489.8,-68.1,-12.2,1.5,54.9,40460,High school diploma or equivalent,None,Moderate-term on-the-job training
Jewelers and precious stone and metal workers,51-9071,Line item,32.4,32.1,-0.3,-0.8,42.8,3.8,41900,High school diploma or equivalent,None,Long-term on-the-job training
Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Summary,75.2,84.4,9.2,12.3,4.1,11,38620,—,—,—
Dental laboratory technicians,51-9081,Line item,33.1,37.2,4,12.2,4,4.9,42110,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical appliance technicians,51-9082,Line item,14.6,16.7,2.1,14.4,4.1,2.2,41750,High school diploma or equivalent,None,Moderate-term on-the-job training
Ophthalmic laboratory technicians,51-9083,Line item,27.5,30.6,3.1,11.2,4.1,4,34440,High school diploma or equivalent,None,Moderate-term on-the-job training
Packaging and filling machine operators and tenders,51-9111,Line item,371.8,392,20.2,5.4,0.2,43.1,32640,High school diploma or equivalent,None,Moderate-term on-the-job training
Painting workers,51-9120,Summary,155.8,167.3,11.6,7.4,3.6,17.2,38740,—,—,—
"Painting, coating, and decorating workers",51-9123,Line item,12.4,13.2,0.8,6.3,3.6,1.3,34780,No formal educational credential,None,Moderate-term on-the-job training
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,143.4,154.2,10.8,7.5,3.7,15.9,39060,High school diploma or equivalent,None,Moderate-term on-the-job training
Semiconductor processing technicians,51-9141,Line item,33.2,32.6,-0.6,-1.7,1.9,3.5,40500,High school diploma or equivalent,None,Moderate-term on-the-job training
Photographic process workers and processing machine operators,51-9151,Line item,9.3,8.5,-0.8,-8.7,7,1.3,34720,High school diploma or equivalent,None,Short-term on-the-job training
Computer numerically controlled tool operators and programmers,51-9160,Summary,185.5,189,3.5,1.9,1.9,20.6,44210,—,—,—
Computer numerically controlled tool operators,51-9161,Line item,158.4,154.5,-3.9,-2.5,1.9,16.5,42260,High school diploma or equivalent,None,Moderate-term on-the-job training
Computer numerically controlled tool programmers,51-9162,Line item,27.1,34.5,7.4,27.4,1.9,4.1,57740,Postsecondary nondegree award,None,Moderate-term on-the-job training
Miscellaneous production workers,51-9190,Summary,656.4,663.4,7.1,1.1,1.5,79.8,32580,—,—,—
Adhesive bonding machine operators and tenders,51-9191,Line item,12.5,12.6,0.1,0.9,—,1.5,36280,High school diploma or equivalent,None,Moderate-term on-the-job training
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,14.7,15.7,0.9,6.3,2,1.7,32230,High school diploma or equivalent,None,Moderate-term on-the-job training
Cooling and freezing equipment operators and tenders,51-9193,Line item,8.4,8.9,0.5,6,2,1,37650,High school diploma or equivalent,None,Moderate-term on-the-job training
Etchers and engravers,51-9194,Line item,9.9,10.1,0.2,2.4,3,1.3,31790,High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders, shapers, and casters, except metal and plastic",51-9195,Line item,46.3,53.3,7,15.1,10.2,5.7,35440,High school diploma or equivalent,None,Long-term on-the-job training
"Paper goods machine setters, operators, and tenders",51-9196,Line item,102.3,94.9,-7.4,-7.3,—,10.2,39820,High school diploma or equivalent,None,Moderate-term on-the-job training
Tire builders,51-9197,Line item,20.6,20.5,-0.2,-0.8,—,2,46270,High school diploma or equivalent,None,Moderate-term on-the-job training
Helpers--production workers,51-9198,Line item,238,227.2,-10.8,-4.5,0.3,31.8,30500,High school diploma or equivalent,None,Short-term on-the-job training
"Production workers, all other",51-9199,Line item,203.6,220.3,16.7,8.2,1.9,24.6,31420,High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation and material moving occupations,53-0000,Summary,"12,673.20","13,793.30","1,120.10",8.8,4.2,"1,770.70",34080,—,—,—
Supervisors of transportation and material moving workers,53-1000,Summary,547.1,579.3,32.3,5.9,11.1,62.8,54840,—,—,—
Aircraft cargo handling supervisors,53-1041,Line item,11,12.3,1.3,11.9,11.8,1.4,53610,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors",53-1047,Line item,536.1,567,30.9,5.8,11.1,61.5,54870,High school diploma or equivalent,Less than 5 years,None
Air transportation workers,53-2000,Summary,251.3,299.4,48.1,19.1,1.5,35.7,81100,—,—,—
Aircraft pilots and flight engineers,53-2010,Summary,113.9,128.6,14.7,12.9,2.6,14.5,130440,—,—,—
"Airline pilots, copilots, and flight engineers",53-2011,Line item,74.7,85,10.3,13.7,—,9.6,160970,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Commercial pilots,53-2012,Line item,39.2,43.6,4.5,11.4,7.4,4.9,93300,High school diploma or equivalent,None,Moderate-term on-the-job training
Air traffic controllers and airfield operations specialists,53-2020,Summary,34.9,37.2,2.3,6.5,—,3.7,99640,—,—,—
Air traffic controllers,53-2021,Line item,24.5,25.5,0.9,3.8,—,2.5,130420,Associate's degree,None,Long-term on-the-job training
Airfield operations specialists,53-2022,Line item,10.4,11.7,1.3,12.9,—,1.2,51330,High school diploma or equivalent,None,Long-term on-the-job training
Flight attendants,53-2031,Line item,102.5,133.6,31.1,30.4,0.8,17.6,59050,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Motor vehicle operators,53-3000,Summary,"4,391.80","4,920.60",528.8,12,8.9,569.1,40600,—,—,—
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,14.2,16.5,2.3,16.3,—,1.9,27930,High school diploma or equivalent,None,Moderate-term on-the-job training
Driver/sales workers and truck drivers,53-3030,Summary,"3,445.50","3,750.50",305,8.9,7.4,421.8,42430,—,—,—
Driver/sales workers,53-3031,Line item,458.2,540,81.9,17.9,7.5,62.5,27960,High school diploma or equivalent,None,Short-term on-the-job training
Heavy and tractor-trailer truck drivers,53-3032,Line item,"1,951.60","2,073.60",122.1,6.3,7.4,231.1,47130,Postsecondary nondegree award,None,Short-term on-the-job training
Light truck drivers,53-3033,Line item,"1,035.80","1,136.80",101.1,9.8,7.3,128.3,37050,High school diploma or equivalent,None,Short-term on-the-job training
Passenger vehicle drivers,53-3050,Summary,872.6,"1,087.90",215.3,24.7,14.6,134.8,34670,—,—,—
"Bus drivers, transit and intercity",53-3052,Line item,165.2,200,34.8,21,0.2,24.6,45900,High school diploma or equivalent,None,Moderate-term on-the-job training
"Passenger vehicle drivers, except bus drivers, transit and intercity",53-3058,Line item,707.4,887.9,180.6,25.5,18,110.2,32320,No formal educational credential,None,Short-term on-the-job training
"Motor vehicle operators, all other",53-3099,Line item,59.6,65.7,6.2,10.3,12.2,10.6,37170,No formal educational credential,None,Short-term on-the-job training
Rail transportation workers,53-4000,Summary,87.3,92,4.7,5.4,0.3,8.3,64410,—,—,—
Locomotive engineers and operators,53-4010,Summary,30.7,32.2,1.5,4.9,0.3,2.9,69850,—,—,—
Locomotive engineers,53-4011,Line item,26.5,27.9,1.5,5.6,0.3,2.5,71870,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,4.2,4.3,0,0.8,—,0.4,51720,High school diploma or equivalent,None,Moderate-term on-the-job training
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,11,11.3,0.2,2,1.3,1,57870,High school diploma or equivalent,None,Moderate-term on-the-job training
Railroad conductors and yardmasters,53-4031,Line item,32.9,34.7,1.8,5.5,—,3.1,64030,High school diploma or equivalent,None,Moderate-term on-the-job training
Subway and streetcar operators,53-4041,Line item,11,12.1,1.1,10.2,—,1.1,69440,High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail transportation workers, all other",53-4099,Line item,1.7,1.7,0,2.6,—,0.2,47970,High school diploma or equivalent,None,Moderate-term on-the-job training
Water transportation workers,53-5000,Summary,66.6,74.4,7.8,11.7,0.5,8.4,59250,—,—,—
Sailors and marine oilers,53-5011,Line item,26.4,29.2,2.7,10.4,—,3.5,44920,No formal educational credential,None,Moderate-term on-the-job training
Ship and boat captains and operators,53-5020,Summary,32.5,36.9,4.4,13.6,1.1,3.9,73610,—,—,—
"Captains, mates, and pilots of water vessels",53-5021,Line item,29.9,33.9,4,13.5,1.1,3.6,77130,Postsecondary nondegree award,Less than 5 years,None
Motorboat operators,53-5022,Line item,2.6,3,0.4,14.7,—,0.3,55910,Postsecondary nondegree award,Less than 5 years,None
Ship engineers,53-5031,Line item,7.8,8.4,0.6,8.2,—,1,75990,Postsecondary nondegree award,Less than 5 years,None
Other transportation workers,53-6000,Summary,334.6,367.7,33.1,9.9,0.8,52.3,28770,—,—,—
Bridge and lock tenders,53-6011,Line item,3.2,3.3,0.1,2.8,—,0.4,52340,High school diploma or equivalent,None,Short-term on-the-job training
Parking attendants,53-6021,Line item,123.8,141.3,17.5,14.2,—,21.9,27080,No formal educational credential,None,Short-term on-the-job training
Automotive and watercraft service attendants,53-6031,Line item,115.7,120.7,5,4.3,0.5,16.4,26540,No formal educational credential,None,Short-term on-the-job training
Traffic technicians,53-6041,Line item,7.6,8.2,0.6,7.8,—,1.1,47800,High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation inspectors,53-6051,Line item,29,30.3,1.3,4.6,6.8,3.3,78400,High school diploma or equivalent,None,Moderate-term on-the-job training
Passenger attendants,53-6061,Line item,23.2,27.2,4.1,17.5,—,4,28770,High school diploma or equivalent,None,Short-term on-the-job training
"Aircraft service attendants and transportation workers, all other",53-6098,Line item,32.1,36.7,4.5,14.1,0.5,5.1,37790,High school diploma or equivalent,None,Short-term on-the-job training
Material moving workers,53-7000,Summary,"6,994.60","7,459.90",465.3,6.7,1.1,"1,034.10",30720,—,—,—
Conveyor operators and tenders,53-7011,Line item,27.3,29,1.7,6.1,12.7,3.5,35770,No formal educational credential,None,Short-term on-the-job training
Crane and tower operators,53-7021,Line item,44.8,47.2,2.4,5.4,2.6,5,59710,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Dredge operators,53-7031,Line item,2,2.1,0.1,5.2,12.4,0.3,49210,High school diploma or equivalent,None,Moderate-term on-the-job training
Hoist and winch operators,53-7041,Line item,5,5.2,0.2,3.4,12.7,0.6,62610,No formal educational credential,None,Short-term on-the-job training
Industrial truck and tractor operators,53-7051,Line item,631.6,680.3,48.7,7.7,0.3,75,37560,No formal educational credential,None,Short-term on-the-job training
Laborers and material movers,53-7060,Summary,"6,074.40","6,464.30",389.8,6.4,0.8,919.7,29910,—,—,—
Cleaners of vehicles and equipment,53-7061,Line item,367.2,399.6,32.4,8.8,5.1,56.1,27640,No formal educational credential,None,Short-term on-the-job training
"Laborers and freight, stock, and material movers, hand",53-7062,Line item,"2,821.70","3,077.50",255.8,9.1,1,411.3,31120,No formal educational credential,None,Short-term on-the-job training
Machine feeders and offbearers,53-7063,Line item,63,66.9,3.9,6.3,0.1,8.8,33000,No formal educational credential,None,Short-term on-the-job training
"Packers and packagers, hand",53-7064,Line item,599.7,600.6,1,0.2,0.2,82.9,28050,No formal educational credential,None,Short-term on-the-job training
Stockers and order fillers,53-7065,Line item,"2,223.00","2,319.70",96.7,4.4,0.1,360.5,29190,High school diploma or equivalent,None,Short-term on-the-job training
Pumping station operators,53-7070,Summary,28.8,31.4,2.6,9.1,6.4,3.5,56610,—,—,—
Gas compressor and gas pumping station operators,53-7071,Line item,4.1,4,-0.1,-1.4,6.5,0.4,67840,High school diploma or equivalent,None,Moderate-term on-the-job training
"Pump operators, except wellhead pumpers",53-7072,Line item,11.1,12.5,1.4,12.6,6.5,1.4,48090,High school diploma or equivalent,None,Moderate-term on-the-job training
Wellhead pumpers,53-7073,Line item,13.6,14.8,1.3,9.4,6.3,1.7,60720,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Refuse and recyclable material collectors,53-7081,Line item,140.5,157.2,16.7,11.9,12.9,21.4,39100,No formal educational credential,None,Short-term on-the-job training
"Tank car, truck, and ship loaders",53-7121,Line item,13,13.6,0.6,4.7,2.4,1.6,45610,No formal educational credential,None,Short-term on-the-job training
"Material moving workers, all other",53-7199,Line item,27.1,29.6,2.5,9.1,2.2,3.6,32850,No formal educational credential,None,Short-term on-the-job training
